,id_fila,x_fila,y_fila,z_fila,ra_fila,dec_fila,redshift_fila
99,16.0,-1178.11,-58.5958,8.5732,182.84738075135763,0.4164238421081655,0.2919647633665163
100,16.0,-1179.09,-58.2868,9.41538,182.83003953453425,0.4569559399314741,0.2922235580217477
101,17.0,-1150.45,-59.0504,-19.1901,182.93830428892258,-0.9543784300916965,0.28464898315198045
102,17.0,-1146.89,-54.7549,-24.2974,182.73334353607822,-1.2122759086121133,0.2836736319455173
103,17.0,-1144.74,-53.2354,-26.6493,182.66258519118247,-1.3321532997825432,0.2830982728723987
104,17.0,-1143.29,-53.3495,-26.9193,182.67166290267812,-1.347341275821671,0.28271688143461016
105,18.0,-1174.35,-88.2895,-23.1129,184.29949932163072,-1.124345664652929,0.29150951193479047
106,18.0,-1171.95,-86.9737,-19.8356,184.24430019314377,-0.9669966888439948,0.29082923142200795
107,18.0,-1170.21,-87.1073,-14.8282,184.25709331183978,-0.7239761755508068,0.29034958376462866
108,18.0,-1169.25,-88.7015,-10.0875,184.33825587103198,-0.4928808936173605,0.2901128411803237
109,19.0,-1174.35,-88.2895,-23.1129,184.29949932163072,-1.124345664652929,0.29150951193479047
110,19.0,-1173.95,-89.3778,-19.5778,184.3537719265076,-0.952668600867503,0.29140794261010383
111,19.0,-1172.73,-89.5806,-16.0515,184.3681345480607,-0.7818976603821569,0.29107341060380426
112,19.0,-1171.0,-89.0461,-12.8091,184.34856160859619,-0.6249065746756087,0.29059202962342756
113,19.0,-1169.25,-88.7015,-10.0875,184.33825587103198,-0.4928808936173605,0.2901128411803237
114,20.0,-454.61,-27.1297,-12.3057,183.4151821978055,-1.547791120294959,0.10790295417134305
115,20.0,-462.0,-23.5225,-10.6241,182.91466927605634,-1.3156315793096656,0.10963657613955237
116,20.0,-466.103,-20.5976,-10.3509,182.53031674059324,-1.2709368308843927,0.11059744709727805
117,20.0,-467.969,-19.8344,-11.3432,182.42697197362946,-1.3872876562102852,0.11104828407882214
118,20.0,-469.562,-19.939,-11.7316,182.43148861091123,-1.4298996924876874,0.11143871607217383
119,20.0,-471.209,-19.4668,-10.7917,182.36568399839163,-1.3108495285910402,0.11182867974701444
120,20.0,-473.042,-18.6328,-9.47814,182.2556753740321,-1.146968220681132,0.1122592267942732
121,20.0,-474.899,-17.8155,-8.58569,182.14840317855655,-1.0350085952850885,0.11269901454379237
122,21.0,-454.61,-27.1297,-12.3057,183.4151821978055,-1.547791120294959,0.10790295417134305
123,21.0,-446.509,-25.9974,-11.175,183.33220950333936,-1.4312474208286363,0.1059172453233352
124,21.0,-441.244,-25.0656,-10.6383,183.25128784643888,-1.3788994232777863,0.10462651872082568
125,21.0,-437.408,-23.1887,-10.3522,183.03463141668283,-1.3538741404420427,0.10367164424656437
126,21.0,-431.871,-21.3293,-9.20431,182.82743387555843,-1.219453448221234,0.10230289427488323
127,21.0,-426.018,-22.1016,-7.85618,182.96981379067668,-1.055050761095844,0.10089077096896276
128,21.0,-423.052,-24.4324,-7.60124,183.30531505045826,-1.0276463619846399,0.10020390867727515
129,21.0,-422.54,-25.6793,-8.0142,183.47779644699858,-1.0845824209604102,0.10009994788927826
130,22.0,-1019.77,-57.7097,-8.52997,183.23896493198592,-0.4784796802887194,0.250235108498526
131,22.0,-1022.2,-59.2682,-9.34427,183.31835259698104,-0.5228670777242587,0.250893358687156
132,22.0,-1022.23,-60.7783,-9.86901,183.40260538403857,-0.552163727510331,0.2509255643145563
133,22.0,-1021.08,-61.3674,-9.93192,183.43936686195576,-0.5562877434592416,0.2506352811160261
134,23.0,-1019.77,-57.7097,-8.52997,183.23896493198592,-0.4784796802887194,0.250235108498526
135,23.0,-1019.4,-59.7026,-9.28846,183.35177947704744,-0.52115414363624,0.25017034535598004
136,23.0,-1020.36,-60.9358,-9.81518,183.41763927345096,-0.550149924819901,0.2504406904120453
