,id_fila,x_fila,y_fila,z_fila
329,17.0,298.201,253.871,15.9413
330,17.0,299.844,253.665,15.4908
331,17.0,301.574,253.596,14.9242
332,17.0,303.21,253.654,14.294
333,17.0,304.67,253.804,13.646
334,17.0,306.0,254.0,13.0
335,18.0,396.5,369.5,-4.0
336,18.0,395.938,365.85,-6.50492
337,18.0,395.619,362.412,-8.78913
338,18.0,395.691,359.294,-10.7042
339,18.0,396.191,356.453,-12.1959
340,18.0,397.097,353.733,-13.2682
341,18.0,398.362,350.97,-13.9276
342,18.0,399.884,348.108,-14.1521
343,18.0,401.459,345.237,-13.9097
344,18.0,402.808,342.532,-13.2115
345,18.0,403.711,340.143,-12.1524
346,18.0,404.13,338.117,-10.8951
347,18.0,404.232,336.406,-9.60407
348,18.0,404.278,334.921,-8.38874
349,18.0,404.469,333.578,-7.30593
350,18.0,404.844,332.329,-6.39672
351,18.0,405.287,331.166,-5.69559
352,18.0,405.603,330.116,-5.19638
353,18.0,405.619,329.216,-4.82603
354,18.0,405.265,328.498,-4.47109
355,18.0,404.58,327.985,-4.03806
356,18.0,403.671,327.711,-3.49667
357,18.0,402.647,327.734,-2.88557
358,18.0,401.592,328.114,-2.29769
359,18.0,400.566,328.881,-1.86059
360,18.0,399.616,330.001,-1.70522
361,18.0,398.757,331.381,-1.91806
362,18.0,397.935,332.88,-2.49279
363,18.0,397.017,334.329,-3.30953
364,18.0,395.826,335.557,-4.15651
365,18.0,394.203,336.418,-4.78912
366,18.0,392.074,336.816,-5.00499
367,18.0,389.49,336.722,-4.70359
368,18.0,386.625,336.166,-3.90065
369,18.0,383.726,335.226,-2.69619
370,18.0,381.02,334.013,-1.23109
371,18.0,378.643,332.662,0.334496
372,18.0,376.62,331.314,1.83195
373,18.0,374.901,330.077,3.12029
374,18.0,373.396,328.988,4.1494
375,18.0,372.0,328.0,5.0
376,19.0,396.5,369.5,-4.0
377,19.0,398.905,370.127,-1.52856
378,19.0,401.34,370.98,0.869577
379,19.0,403.843,372.156,3.18868
380,19.0,406.442,373.537,5.49145
381,19.0,409.118,374.808,7.84642
382,19.0,411.77,375.567,10.2627
383,19.0,414.218,375.492,12.6713
384,19.0,416.234,374.475,14.9549
385,19.0,417.602,372.622,16.9997
386,19.0,418.219,370.159,18.7417
387,19.0,418.166,367.314,20.1872
388,19.0,417.714,364.268,21.3923
389,19.0,417.196,361.185,22.4146
390,19.0,416.857,358.23,23.2786
391,19.0,416.76,355.545,23.9824
392,19.0,416.84,353.168,24.5377
393,19.0,417.0,351.0,25.0
394,20.0,229.0,196.5,-1.5
395,20.0,232.585,195.853,-1.42384
396,20.0,235.86,195.266,-1.47995
397,20.0,238.621,194.808,-1.70289
398,20.0,240.809,194.56,-2.00452
399,20.0,242.479,194.628,-2.23156
400,20.0,243.732,195.114,-2.25096
401,20.0,244.649,196.077,-2.00101
402,20.0,245.266,197.471,-1.49081
403,20.0,245.586,199.137,-0.772293
404,20.0,245.609,200.86,0.0877938
405,20.0,245.379,202.485,1.02742
406,20.0,245.0,204.0,2.0
407,21.0,229.0,196.5,-1.5
408,21.0,224.108,197.056,-3.72298
409,21.0,219.441,197.556,-5.88965
410,21.0,215.0,198.0,-8.0
411,22.0,262.0,171.5,-10.5
412,22.0,268.912,173.18,-10.0639
413,22.0,274.97,174.783,-9.65545
414,22.0,279.704,176.268,-9.28386
415,22.0,283.125,177.632,-8.93139
416,22.0,285.522,178.893,-8.55634
417,22.0,287.19,180.06,-8.10635
418,22.0,288.316,181.142,-7.54284
419,22.0,289.025,182.167,-6.87183
420,22.0,289.479,183.199,-6.16019
421,22.0,289.893,184.322,-5.51334
422,22.0,290.475,185.598,-5.02057
423,22.0,291.337,187.019,-4.70897
424,22.0,292.458,188.502,-4.54314
425,22.0,293.723,189.927,-4.46101
426,22.0,294.998,191.196,-4.40214
427,22.0,296.187,192.277,-4.30484
428,22.0,297.257,193.203,-4.09447
429,22.0,298.22,194.047,-3.69965
430,22.0,299.108,194.885,-3.09673
431,22.0,299.956,195.772,-2.34296
432,22.0,300.803,196.723,-1.56304
433,22.0,301.692,197.718,-0.896312
434,22.0,302.657,198.71,-0.445142
435,22.0,303.69,199.656,-0.257829
436,22.0,304.713,200.526,-0.346262
437,22.0,305.577,201.311,-0.714843
438,22.0,306.117,202.003,-1.37638
439,22.0,306.228,202.587,-2.34349
440,22.0,305.918,203.057,-3.59847
441,22.0,305.305,203.439,-5.05684
442,22.0,304.554,203.816,-6.54689
443,22.0,303.818,204.308,-7.82725
444,22.0,303.201,205.026,-8.64984
445,22.0,302.748,206.014,-8.84712
446,22.0,302.468,207.218,-8.39484
447,22.0,302.341,208.495,-7.40407
448,22.0,302.322,209.663,-6.0438
449,22.0,302.348,210.571,-4.45432
450,22.0,302.365,211.15,-2.72241
451,22.0,302.335,211.435,-0.929512
452,22.0,302.23,211.546,0.791096
453,22.0,302.006,211.631,2.26025
454,22.0,301.596,211.806,3.32747
455,22.0,300.943,212.136,3.95081
456,22.0,300.055,212.642,4.21557
457,22.0,299.03,213.322,4.28016
458,22.0,298.022,214.147,4.29035
459,22.0,297.176,215.054,4.31589
460,22.0,296.583,215.962,4.33768
461,22.0,296.307,216.809,4.27738
462,22.0,296.426,217.586,4.04265
463,22.0,297.029,218.319,3.56883
464,22.0,298.148,219.029,2.85117
465,22.0,299.701,219.695,1.96098
466,22.0,301.512,220.267,1.03147
467,22.0,303.389,220.698,0.209733
468,22.0,305.215,220.97,-0.401476
469,22.0,306.965,221.101,-0.775988
470,22.0,308.662,221.124,-0.954036
471,22.0,310.336,221.078,-1.00591
472,22.0,312.0,221.0,-1.0
473,23.0,262.0,171.5,-10.5
474,23.0,256.307,172.224,-9.26974
475,23.0,251.54,173.102,-8.02695
476,23.0,248.18,174.211,-6.77266
477,23.0,246.132,175.538,-5.52605
478,23.0,244.947,177.026,-4.32831
479,23.0,244.16,178.634,-3.25588
480,23.0,243.51,180.372,-2.42777
481,23.0,242.955,182.282,-1.9741
482,23.0,242.567,184.38,-1.96123
483,23.0,242.412,186.594,-2.32167
484,23.0,242.5,188.757,-2.85388
485,23.0,242.792,190.669,-3.30746
486,23.0,243.235,192.222,-3.49751
487,23.0,243.775,193.473,-3.36711
488,23.0,244.359,194.624,-2.96449
489,23.0,244.919,195.902,-2.3716
490,23.0,245.367,197.42,-1.64874
491,23.0,245.618,199.125,-0.826702
492,23.0,245.617,200.858,0.0730009
493,23.0,245.38,202.485,1.02441
494,23.0,245.0,204.0,2.0
495,24.0,399.0,258.0,19.0
496,24.0,396.301,258.394,19.0273
497,24.0,394.067,259.027,19.0802
498,24.0,392.633,260.025,19.1568
499,24.0,392.099,261.368,19.2241
500,24.0,392.31,262.941,19.2404
501,24.0,392.903,264.619,19.1761
502,24.0,393.432,266.305,18.9982
503,24.0,393.534,267.905,18.6298
504,24.0,393.074,269.3,17.9464
505,24.0,392.191,270.374,16.8505
506,24.0,391.23,271.08,15.378
507,24.0,390.576,271.475,13.7322
508,24.0,390.5,271.688,12.1944
509,24.0,391.07,271.861,10.9738
510,24.0,392.164,272.115,10.1118
511,24.0,393.544,272.539,9.49913
512,24.0,394.95,273.188,8.97354
513,24.0,396.186,274.061,8.4228
514,24.0,397.165,275.095,7.83533
515,24.0,397.915,276.171,7.28553
516,24.0,398.549,277.164,6.87665
517,24.0,399.203,277.989,6.67999
